"cite.key","Title","Authors","year"
"leeDirectLookPredator2013","Direct Look from a Predator Shortens the Risk-Assessment Time by Prey","S.-I. Lee, S. Hwang, Y.-E. Joe, H.-K. Cha, G.-H. Joo, H.-J. Lee, J.-W. Kim, P.G. Jablonski","2013"
"jiangBehavioralResponsesBlue2013","Behavioral responses of blue sheep (Pseudois nayaur) to nonlethal human recreational disturbance","TY Jiang, XM Wang, YZ Ding, ZS Liu, ZH Wang","2013"
"ferrandResponsesEurasianWoodcock2013","Responses of Eurasian woodcock Scolopax rusticola to simulated hunting disturbance","Y Ferrand, P Aubry, P Landry, P Priol","2013"
"cristescuPerceptionHumanDerivedRisk2013","Perception of Human-Derived Risk Influences Choice at Top of the Food Chain","B Cristescu, GB Stenhouse, MS Boyce","2013"
"colemanGrizzlyBearHuman2013","Grizzly bear and human interaction in Yellowstone National Park An evaluation of bear management areas","TH Coleman, CC Schwartz, KA Gunther, S Creel","2013"
"bumpBearBaitingMayExacerbate2013","Bear-Baiting May Exacerbate Wolf-Hunting Dog Conflict","J.K. Bump, C.M. Murawski, L.M. Kartano, D.E. Beyer Jr., B.J. Roell","2013"
"bonnotHabitatUsePredation2013","Habitat use under predation risk Hunting, roads and human dwellings influence the spatial behaviour of roe deer","N Bonnot, N Morellet, H Verheyden, B Cargnelutti, B Lourtet, F Klein, AJM Hewison","2013"
"tarakiniFlightBehaviouralResponses2014","Flight behavioural responses to sport hunting by two African herbivores","T. Tarakini, W.-G. Crosmary, H. Fritz, P. Mundy","2014"
"taraborelliDifferentFactorsThat2014","Different factors that modify anti-predator behaviour in guanacos (Lama guanicoe)","P Taraborelli, R Ovejero, MEM Torres, NM Schroeder, P Moreno, P Gregorio, E Marcotti, A Marozzi, P Carmanchahi","2014"
"symonsSexDifferencesRisk2014","Sex differences in risk perception in deep-diving bottlenose dolphins leads to decreased foraging efficiency when exposed to human disturbance","J Symons, E Pirotta, D Lusseau","2014"
"shannonRoadTrafficNoise2014","Road traffic noise modifies behaviour of a keystone species","G Shannon, LM Angeloni, G Wittemyer, KM Fristrup, KR Crooks","2014"
"shannonBehavioralResponsesAssociated2014","Behavioral Responses Associated with a Human-Mediated Predator Shelter","G Shannon, LS Cordes, AR Hardy, LM Angeloni, KR Crooks","2014"
"priceHumanActivityAffects2014","Human activity affects the perception of risk by mule deer","MV Price, EH Strombom, DT Blumstein","2014"
"ndaimaniPredictingSpatialDistribution2014","Predicting the spatial distribution of hunted and non-hunted Sable antelope (Hippotragus niger niger) using remotely sensed woody cover in a Southern African savanna","H Ndaimani, A Murwira, S Kativu","2014"
"mikulaPedestrianDensityInfluences2014","Pedestrian density influences flight distances of urban birds","P Mikula","2014"
"mcgowanEffectHumanPresence2014","The Effect of Human Presence and Human Activity on Risk Assessment and Flight Initiation Distance in Skinks","MM McGowan, PD Patel, JD Stroh, DT Blumstein","2014"
"marchandImpactsTourismHunting2014","Impacts of tourism and hunting on a large herbivore's spatio-temporal behavior in and around a French protected area","P Marchand, M Garel, G Bourgoin, D Dubray, D Maillard, A Loison","2014"
"loneLivingDyingMultipredator2014","Living and dying in a multi-predator landscape of fear Roe deer are squeezed by contrasting pattern of predation risk imposed by lynx and humans","K Lone, LE Loe, T Gobakken, JDC Linnell, J Odden, J Remmen, A Mysterud","2014"
"littleDoesHumanPredation2014","Does Human Predation Risk Affect Harvest Susceptibility of White-Tailed Deer During Hunting Season?","AR Little, S Demarais, KL Gee, SL Webb, SK Riffell, JA Gaskamp, JL Belant","2014"
"lesaoutShorttermEffectsHunting2014","Short-term effects of hunting on naive black-tailed deer (Odocoileus hemionus sitkensis) behavioural response and consequences on vegetation growth","S Le Saout, S Padie, S Chamaille-Jammes, S Chollet, S Cote, N Morellet, J Pattison, E Harris, JL Martin","2014"
"kiffnerInterspecificVariationLarge2014","Interspecific variation in large mammal responses to human observers along a conservation gradient with variable hunting pressure","C Kiffner, J Kioko, B Kissui, C Painter, M Serota, C White, P Yager","2014"
"djagounHuntingAffectsDry2014","Hunting affects dry season habitat selection by several bovid species in northern Benin","CAMS Djagoun, B Kassa, BA Djossa, T Coulson, GA Mensah, B Sinsin","2014"
"cristescuGrizzlyBearUngulate2014","Grizzly bear ungulate consumption and the relevance of prey size to caching and meat sharing","B Cristescu, GB Stenhouse, MS Boyce","2014"
"batemanSwitchingPlanChanges2014","Switching to Plan B changes in the escape tactics of two grasshopper species (Acrididae Orthoptera) in response to repeated predatory approaches","PW Bateman, PA Fleming","2014"
"batemanDoesHumanPedestrian2014","Does human pedestrian behaviour influence risk assessment in a successful mammal urban adapter?","PW Bateman, PA Fleming","2014"
"avrilExplorationForaysJuvenile2014","Exploration forays in juvenile European hares (Lepus europaeus) Dispersal preludes or hunting-induced troubles?","A. Avril, J. Letty, Y. Léonard, D. Pontier","2014"
"atickemIndividualHeterogeneityUse2014","Individual Heterogeneity in Use of Human Shields by Mountain Nyala","A Atickem, LE Loe, NC Stenseth","2014"
"wronskiInteractionsWildlifeHumans2015","Interactions between wildlife, humans and cattle activity patterns of a remnant population of impala on the degraded Mutara Rangelands, Rwanda","T Wronski, JD Bariyanga, A Apio, M Plath","2015"
"stillfriedWhenTopPredators2015","When top predators become prey Black bears alter movement behaviour in response to hunting pressure","M Stillfried, JL Belant, NJ Svoboda, DE Beyer, S Kramer-Schadt","2015"
"staflAmericanPikasOchotona2015","American pikas' (Ochotona princeps) foraging response to hikers and sensitivity to heat in an alpine environment","N Stafl, MI O'Connor","2015"
"sreekarFlightInitiationDistance2015","Flight initiation distance as behavioral indicator of hunting pressure a case study of the Sooty-headed Bulbul (Pycnonotus aurigaster) in Xishuangbanna, SW China","R Sreekar, E Goodale, RD Harrison","2015"
"smithTopCarnivoresIncrease2015","Top carnivores increase their kill rates on prey as a response to human-induced fear","JA Smith, YW Wang, CC Wilmers","2015"
"sahlenBehaviouralDifferencesSingle2015","Behavioural Differences between Single Scandinavian Brown Bears (Ursus arctos) and Females with Dependent Young When Experimentally Approached by Humans","V Sahlen, A Ordiz, JE Swenson, OG Stoen","2015"
"padieRoeDeerRisk2015","Roe deer at risk teasing apart habitat selection and landscape constraints in risk exposure at multiple scales","S Padie, N Morellet, AJM Hewison, JL Martin, N Bonnot, B Cargnelutti, S Chamaille-Jammes","2015"
"oriol-cotterillSpatiotemporalPatternsLion2015","Spatiotemporal patterns of lion space use in a human-dominated landscape","A Oriol-Cotterill, DW Macdonald, M Valeix, S Ekwanga, LG Frank","2015"
"oriol-cotterillLandscapesCoexistenceTerrestrial2015","Landscapes of Coexistence for terrestrial carnivores the ecological consequences of being downgraded from ultimate to penultimate predator by humans","A Oriol-Cotterill, M Valeix, LG Frank, C Riginos, DW Macdonald","2015"
"loneAdaptiveBehaviouralResponse2015","An adaptive behavioural response to hunting surviving male red deer shift habitat at the onset of the hunting season","K Lone, LE Loe, EL Meisingset, I Stamnes, A Mysterud","2015"
"liVigilanceActivityTimeBudget2015","Vigilance and Activity Time-Budget Adjustments of Wintering Hooded Cranes, Grus monacha, in Human-Dominated Foraging Habitats","CL Li, LZ Zhou, L Xu, NN Zhao, G Beauchamp","2015"
"kiszkaBehaviouralDriversEcological2015","Behavioural drivers of the ecological roles and importance of marine mammals","JJ Kiszka, MR Heithaus, AJ Wirsing","2015"
"haywardRiskPerceptionEndangered2015","Risk perception by endangered European bison Bison bonasus is context (condition) dependent","MW Hayward, S Ortmann, R Kowalczyk","2015"
