"cite.key","study_type","contrast_type","sampling","sampling_time","pop_cn","pop_sn","exposure_category","controls","outcome","outcomes","treatment","group","mean","scale","mean.unit","var","lower","upper","var.unit","multiplier","n","remarks","ratio"
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","temporal","FIS",420,"Blackbird","Turdus merula","active interaction","negative control","foraging","vigilance time + foraging time","active disturbance","Retiro",1.10849140907601,"proportion","time",4.55791889545766,NA,NA,"sd",-1,20,"",0.243201214084944
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","temporal","FIS",420,"Blackbird","Turdus merula","active interaction","negative control","foraging","vigilance time + foraging time","control","Moro",2.41089970641721,"proportion","time",4.70142726855505,NA,NA,"sd",-1,20,"",0.51280165973049
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","temporal","FIS",420,"Blackbird","Turdus merula","active interaction","negative control","foraging","vigilance time + foraging time","control","Oeste",2.69123447234926,"proportion","time",4.65464728561673,NA,NA,"sd",-1,20,"",0.578182256830805
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","temporal","FIS",420,"Blackbird","Turdus merula","active interaction","negative control","foraging","vigilance time + foraging time","control","Retiro",2.48432253338482,"proportion","time",4.70142726855505,NA,NA,"sd",-1,20,"",0.528418795288172
"gavinPronghornAntilocapraAmericana2006","treatment-control","spatial","FIS",600,"Pronghorn Antelope","Antilocapra americana","passive interaction","negative control","foraging","vigilance time + foraging time","passive disturbance","",0.35,"proportion","time",0.331360830515618,NA,NA,"sd",-1,122,"",1.05625037049605
"gavinPronghornAntilocapraAmericana2006","treatment-control","spatial","FIS",600,"Pronghorn Antelope","Antilocapra americana","passive interaction","negative control","foraging","vigilance time + foraging time","control","",0.45,"proportion","time",0.552268050859363,NA,NA,"sd",-1,122,"",0.814821714382667
"gavinPronghornAntilocapraAmericana2006","treatment-control","spatial","FIS",600,"Pronghorn Antelope","Antilocapra americana","passive interaction","negative control","vigilance","vigilance time + foraging time","passive disturbance","",0.51,"proportion","time",0.331360830515618,NA,NA,"sd",-1,122,"",1.53910768272281
"gavinPronghornAntilocapraAmericana2006","treatment-control","spatial","FIS",600,"Pronghorn Antelope","Antilocapra americana","passive interaction","negative control","vigilance","vigilance time + foraging time","control","",0.4,"proportion","time",0.44181444068749,NA,NA,"sd",-1,122,"",0.905357460425185
"gerte.olssonEffectsHuntingWillow1996","treatment-control","spatial","GPS",NA,"Willow Grouse","Lagopus lagopus","lethal interaction","negative control","displacement","movement rate + displacement","hunting","",672,"","m",200.740740740741,943,401,"sd",-1,43,"",3.34760147601476
"gerte.olssonEffectsHuntingWillow1996","treatment-control","spatial","GPS",NA,"Willow Grouse","Lagopus lagopus","lethal interaction","negative control","displacement","movement rate + displacement","control","",628.5,"","m",132.222222222222,807,450,"sd",-1,40,"",4.75336134453782
"gerte.olssonEffectsHuntingWillow1996","treatment-control","spatial","GPS",NA,"Willow Grouse","Lagopus lagopus","lethal interaction","negative control","movement rate","movement rate + displacement","hunting","",376.5,"","m/day",77.4074074074074,481,272,"sd",-1,43,"",4.86387559808612
"gerte.olssonEffectsHuntingWillow1996","treatment-control","spatial","GPS",NA,"Willow Grouse","Lagopus lagopus","lethal interaction","negative control","movement rate","movement rate + displacement","control","",339.5,"","m/day",104.814814814815,481,198,"sd",-1,40,"",3.23904593639576
"giordanoPreyResponsesPredation2022","treatment-control","Auditory cues","FIS",45,"Chipmunk","","passive interaction","positive control","foraging","GUD + foraging time + vigilance time","control","",15.62,"","time",4.48938775510204,NA,NA,"sd",-1,35,"",3.47931630148195
